ASSEMBLY SCORES,,,,,,,,,,,,,,,,,,
DISTRICT,SENATE,REPRESENTATIVE,AB 173,AB 448,SB 1,SB 183,SB 190,SB 278,SB 596,2014,LIFETIME,,,,,,,
32,0,"August, Tyler",--,1,,,1,,1,50%,25%,,,,,,,
41,0,"Ballweg, Joan",1,1,,,1,,1,57%,34%,,,,,,,
64,0,"Barca, Peter",1,1,1,1,1,1,1,100%,100%,,,,,,,
11,0,"Barnes, Mandela",1,1,1,1,1,1,1,100%,100%,,,,,,,
77,0,"Berceau, Terese",1,1,1,1,1,1,1,100%,99%,,,,,,,
57,0,"Bernard Schaber, Penny",1,1,1,1,1,1,1,100%,100%,,,,,,,
68,0,"Bernier, Kathy",1,1,,,1,,1,57%,35%,,,,,,,
74,0,"Bewley, Janet",1,1,1,1,1,1,1,100%,100%,,,,,,,
1,0,"Bies, Garey",1,1,,,--,,1,50%,38%,,,,,,,
95,0,"Billings, Jill",1,1,1,1,1,1,1,100%,100%,,,,,,,
39,0,"Born, Mark",1,1,,,,1,1,57%,57%,,,,,,,
50,0,"Brooks, Ed",1,1,,,--,,1,50%,47%,,,,,,,
81,0,"Clark, Fred",1,1,1,1,1,1,1,100%,100%,,,,,,,
83,0,"Craig, Dave",1,1,,,1,,1,57%,32%,,,,,,,
35,0,"Czaja, Mary",1,1,,,1,,--,50%,50%,,,,,,,
92,0,"Danou, Chris",1,1,1,1,1,1,1,100%,97%,,,,,,,
94,0,"Doyle, Steve",1,1,1,,1,1,1,86%,89%,,,,,,,
26,0,"Endsley, Mike",1,1,,,1,,1,57%,64%,,,,,,,
90,0,"Genrich, Eric",1,1,1,1,1,1,1,100%,100%,,,,,,,
18,0,"Goyke, Evan",1,1,1,1,1,1,1,100%,100%,,,,,,,
46,0,"Hebl, Gary",1,--,1,1,1,1,1,100%,98%,,,,,,,
79,0,"Hesselbein, Dianne",1,1,1,1,1,1,1,100%,100%,,,,,,,
54,0,"Hintz, Gordon",1,1,1,1,1,1,1,100%,96%,,,,,,,
21,0,"Honadel, Mark",NA,NA,0,NA,NA,NA,NA,NA,28%,,,,,,,
78,0,"Hulsey, Brett",1,1,1,1,1,1,1,100%,100%,,,,,,,
13,0,"Hutton, Rob",1,1,,,1,,1,57%,57%,,,,,,,
2,0,"Jacque, Andre",1,1,,,1,,1,57%,33%,,,,,,,
37,0,"Jagler, John",1,1,,,1,,1,57%,57%,,,,,,,
17,0,"Johnson, LaTonya",1,1,1,1,1,1,1,100%,100%,,,,,,,
43,0,"Jorgensen, Andy",1,1,1,1,1,1,1,100%,91%,,,,,,,
47,0,"Kahl, Robb",1,1,1,,1,1,1,86%,86%,,,,,,,
99,0,"Kapenga, Chris",1,1,,,1,,,57%,29%,,,,,,,
55,0,"Kaufert, Dean",1,1,,,1,,,57%,42%,,,,,,,
61,0,"Kerkman, Samatha",1,1,,,1,,,57%,28%,,,,,,,
12,0,"Kessler, Frederick",1,1,1,1,1,1,1,100%,93%,,,,,,,
27,0,"Kestell, Steve",1,1,,,1,,1,57%,34%,,,,,,,
38,0,"Kleefisch, Joel",1,1,,,1,,1,57%,20%,,,,,,,
88,0,"Klenke, John",1,1,,,1,,--,50%,30%,,,,,,,
24,0,"Knodl, Dan",1,1,,,1,,1,57%,33%,,,,,,,
30,0,"Knudson, Dean",1,1,,,1,,1,57%,37%,,,,,,,
44,0,"Kolste, Debra",1,1,1,1,1,1,1,100%,100%,,,,,,,
14,0,"Kooyenga, Dale",1,1,,,1,,--,50%,25%,,,,,,,
97,0,"Kramer, Bill",1,1,,,1,,--,50%,29%,,,,,,,
72,0,"Krug, Scott",1,1,,,1,,1,57%,38%,,,,,,,
84,0,"Kuglitsch, Mike",--,1,,--,1,--,1,75%,33%,,,,,,,
69,0,"Kulp, Bob",NA,1,NA,NA,NA,NA,1,NA,100%,,,,,,,
67,0,"Larson, Tom",1,1,,,1,,1,57%,38%,,,,,,,
59,0,"LeMahieu, Daniel",1,1,,,1,,1,57%,26%,,,,,,,
31,0,"Loudenbeck, Amy",--,1,,,1,--,1,60%,32%,,,,,,,
51,0,"Marklein, Howard",1,1,,,--,,1,50%,30%,,,,,,,
66,0,"Mason, Cory",1,1,1,1,1,,1,100%,100%,,,,,,,
73,0,"Milroy, Nick",1,--,1,1,--,1,1,100%,100%,,,,,,,
56,0,"Murphy, Dave",1,1,,,1,,1,57%,57%,,,,,,,
36,0,"Mursau, Jeffrey",1,1,,,1,,1,57%,40%,,,,,,,
29,0,"Murtha, John",--,1,,--,1,--,1,75%,43%,,,,,,,
33,0,"Nass, Stephen",1,1,,,1,,1,57%,28%,,,,,,,
96,0,"Nerison, Lee",1,1,,,1,,1,57%,40%,,,,,,,
98,0,"Neylon, Adam",1,1,NA,,1,,1,67%,67%,,,,,,,
89,0,"Nygren, John",1,1,,,1,,1,57%,36%,,,,,,,
65,0,"Ohnstad, Tod",1,1,1,1,1,1,1,100%,100%,,,,,,,
3,0,"Ott, Alvin",1,1,,,1,,1,57%,48%,,,,,,,
23,0,"Ott, Jim",1,1,,,1,,1,57%,38%,,,,,,,
10,0,"Pasch, Sandy",1,1,1,1,1,1,1,100%,100%,,,,,,,
40,0,"Petersen, Kevin",1,1,,,1,,1,57%,38%,,,,,,,
93,0,"Petryk, Warren",1,1,,,1,,1,57%,33%,,,,,,,
80,0,"Pope, Sondy",1,1,1,1,1,1,1,100%,85%,,,,,,,
22,0,"Pridemore, Don",1,1,--,,1,,1,67%,25%,,,,,,,
