SENATE SCORES,,,,,,,,,,,,,
DISTRICT,SANATOR,NAME,AB 582,SB 239,SB 459,AB 384,AB 603,SB 434,AB 25,AB 515,AB 563,2016,LIFETIME
25,1,"Bewley, Janet",1,,1,1,1,,,,1,83%,96%
3,1,"Carpenter, Tim",1,1,1,1,1,1,1,1,1,100%,96%
2,1,"Cowles, Robert",,,,,,,,1,,13%,52%
8,1,"Darling, Alberta",,,,,,,,1,,11%,40%
27,1,"Erpenbach, Jon",1,1,1,1,1,1,1,1,1,100%,95%
13,1,"Fitzgerald, Scott",,,,,,,,1,,11%,36%
18,1,"Gudex, Rick",,,,,,,,1,,11%,20%
30,1,"Hansen, Dave",1,1,1,,1,1,1,1,1,89%,86%
6,1,"Harris Dodd, Nikiya",,1,,,,,1,1,,NA,100%
10,1,"Harsdorf, Sheila",,,,,,,,1,,11%,44%
33,1,"Kapenga, Chris",,,,,,,,,,0%,20%
7,1,"Larson, Chris",1,1,1,1,1,1,1,1,1,100%,96%
1,1,"Lasee, Frank",,,,,,,,1,,11%,19%
24,1,"Lassa, Julie",1,1,1,,1,,1,1,1,78%,86%
28,1,"Lazich, Mary",,,,,,,,1,,11%,29%
9,1,"LeMahieu, Devin",,,,,,,,1,,11%,11%
17,1,"Marklein, Howard",,,,,,,,1,,11%,24%
16,1,"Miller, Mark",1,1,1,1,1,1,1,1,1,100%,95%
23,1,"Moulton, Terry",,,,,,,,1,,11%,21%
11,1,"Nass, Stephen",,,,,,,,1,,11%,27%
14,1,"Olsen, Luther",,,,,,,,1,,11%,43%
29,1,"Petrowski, Jerry",,,,,,,,1,,11%,33%
15,1,"Ringhand, Janis",1,1,1,1,1,1,1,1,1,89%,97%
26,1,"Risser, Fred",1,1,1,1,1,1,1,1,1,100%,95%
19,1,"Roth, Roger",,,,,,,,1,,11%,46%
32,1,"Shilling, Jennifer",1,1,1,,1,1,1,1,1,89%,86%
20,1,"Stroebel, Duey",,,,,,,,,,0%,25%
4,1,"Taylor, Lena",1,1,1,1,1,1,1,1,1,100%,86%
12,1,"Tiffany, Tom",,,,,,,,1,,11%,15%
31,1,"Vinehout, Kathleen",1,1,1,1,1,1,1,1,1,100%,90%
5,1,"Vukmir, Leah",,,,,,,,1,,11%,20%
21,1,"Wanggaard, Van",,,,,,,,1,,11%,11%
22,1,"Wirch, Robert",1,1,1,1,1,1,1,1,1,100%,93%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
